no,label,training_total,valid_total,test_total
1,Pink Primrose,27,8,5
2,Hard-Leaved Pocket Orchid,49,6,5
3,Canterbury Bells,36,2,2
4,Sweet Pea,44,6,6
5,English Marigold,54,7,4
6,Tiger Lily,35,1,9
7,Moon Orchid,33,1,6
8,Bird Of Paradise,70,5,10
9,Monkshood,41,3,2
10,Globe Thistle,38,4,3
11,Snapdragon,68,10,9
12,Colt'S Foot,73,5,9
13,King Protea,38,5,6
14,Spear Thistle,44,1,3
15,Yellow Iris,38,7,4
16,Globe-Flower,36,2,3
17,Purple Coneflower,60,16,9
18,Peruvian Lily,65,11,6
19,Balloon Flower,38,4,7
20,Giant White Arum Lily,46,7,3
21,Fire Lily,34,4,2
22,Pincushion Flower,47,8,4
23,Fritillary,72,12,7
24,Red Ginger,35,5,2
25,Grape Hyacinth,34,2,5
26,Corn Poppy,33,3,5
27,Prince Of Wales Feathers,36,1,3
28,Stemless Gentian,55,5,6
29,Artichoke,62,7,9
30,Sweet William,61,10,14
31,Carnation,48,2,2
32,Garden Phlox,36,3,6
33,Love In The Mist,31,7,8
34,Mexican Aster,28,7,5
35,Alpine Sea Holly,33,4,6
36,Ruby-Lipped Cattleya,62,6,7
37,Cape Flower,92,8,8
38,Great Masterwort,44,4,8
39,Siam Tulip,33,3,5
40,Lenten Rose,54,5,8
41,Barbeton Daisy,97,16,14
42,Daffodil,49,6,4
43,Sword Lily,100,14,16
44,Poinsettia,73,9,11
45,Bolero Deep Blue,33,4,3
46,Wallflower,157,18,21
47,Marigold,61,3,3
48,Buttercup,57,9,5
49,Oxeye Daisy,38,8,3
50,Common Dandelion,73,11,8
51,Petunia,206,28,24
52,Wild Pansy,67,10,8
53,Primula,70,9,14
54,Sunflower,47,10,4
55,Pelargonium,56,8,7
56,Bishop Of Llandaff,92,9,8
57,Gaura,50,6,11
58,Geranium,86,14,14
59,Orange Dahlia,56,4,7
60,Pink-Yellow Dahlia,85,14,10
61,Cautleya Spicata,36,6,8
62,Japanese Anemone,48,3,4
63,Black-Eyed Susan,42,8,4
64,Silverbush,42,5,5
65,Californian Poppy,88,7,7
66,Osteospermum,51,6,4
67,Spring Crocus,36,2,4
68,Bearded Iris,43,8,3
69,Windflower,46,5,3
70,Tree Poppy,51,7,4
71,Gazania,64,5,9
72,Azalea,77,8,11
73,Water Lily,147,19,28
74,Rose,142,15,14
75,Thorn Apple,95,12,13
76,Morning Glory,83,20,4
77,Passion Flower,205,21,25
78,Lotus Lotus,112,11,14
79,Toad Lily,34,4,3
80,Anthurium,82,12,11
81,Frangipani,135,18,13
82,Clematis,82,13,17
83,Hibiscus,104,13,14
84,Columbine,66,10,10
85,Desert-Rose,48,5,10
86,Tree Mallow,48,5,5
87,Magnolia,51,6,6
88,Cyclamen,116,25,13
89,Watercress,153,16,15
90,Canna Lily,66,2,14
91,Hippeastrum,59,9,8
92,Bee Balm,53,2,11
93,Ball Moss,34,6,6
94,Foxglove,132,14,16
95,Bougainvillea,101,13,14
96,Camellia,72,10,9
97,Mallow,54,7,5
98,Mexican Petunia,68,10,4
99,Bromelia,50,6,7
100,Blanket Flower,35,6,8
101,Trumpet Creeper,49,5,4
102,Blackberry Lily,36,6,6
